ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
332,3.33,0.64,12450.14,5.56,1.25,6.17,й╙ву
333,1.94,1.13,15890.36,5.19,2.05,1.64,╣нк╝
334,1.38,1.28,15282.85,1.41,3.8,5.77,й╙ву
335,3.43,1.08,14663.3,3.72,4.23,3.02,╣нк╝
336,1.83,1.58,16373.09,4.14,2.72,7.31,╣нк╝
337,1.38,0.79,17030.41,2.99,4.88,1.54,й╙ву
338,3.65,0.84,12809.39,2.35,3.09,5.53,й╙ву
339,2.74,0.18,17606.14,3.62,5.27,3.47,╣нк╝
340,3.64,0.88,17133.41,12.16,5.57,1.44,й╙ву
341,1.94,1.24,14888.46,3.57,5.5,2.28,╣нк╝
342,2.82,1.53,14447.43,3.3,3.79,3.94,й╙ву
343,2.52,0.96,12042.32,5.0,1.42,1.82,й╙ву
344,3.92,1.37,12411.42,1.67,2.89,5.24,й╙ву
345,1.0,1.78,12795.56,4.6,5.43,2.06,й╙ву
346,2.6,1.02,15274.93,6.74,13.2,9.97,й╙ву
347,1.91,1.46,18652.71,5.93,4.05,2.67,╣нк╝
348,3.17,0.56,17719.98,2.41,4.31,2.29,й╙ву
349,1.15,0.91,16089.83,3.77,5.97,7.34,й╙ву
350,0.66,1.68,16844.94,2.76,7.17,2.2,й╙ву
351,2.68,1.35,16396.99,3.53,3.54,6.39,й╙ву
352,2.01,1.14,17121.65,9.19,2.35,8.74,╣нк╝
353,2.86,1.77,12131.16,4.71,4.57,8.35,й╙ву
354,3.28,1.63,12794.12,1.7,9.82,9.51,й╙ву
355,2.08,0.94,16066.61,3.66,5.04,4.33,й╙ву
356,1.99,1.03,17421.41,2.32,6.48,2.8,й╙ву
357,1.12,1.82,16136.02,1.92,3.75,7.84,й╙ву
358,2.94,1.92,13451.17,2.84,0.74,7.13,й╙ву
359,2.76,1.19,17153.46,5.47,1.91,7.02,й╙ву
360,1.27,1.61,18017.61,2.58,1.39,7.21,й╙ву
361,2.43,1.96,16633.11,3.81,6.48,5.94,╣нк╝
362,2.78,1.18,14597.28,4.42,2.31,1.87,й╙ву
363,1.45,1.35,16864.32,2.16,4.97,4.33,╣нк╝
364,3.45,1.4,18706.62,5.81,4.67,3.63,╣нк╝
365,0.98,1.62,13187.71,1.84,2.06,1.97,╣нк╝
366,2.34,1.22,18475.21,4.85,2.67,7.67,╣нк╝
367,2.65,1.88,17017.99,8.02,9.04,9.29,й╙ву
368,1.21,1.75,12226.44,5.92,2.95,8.33,й╙ву
369,1.77,1.53,12618.4,2.46,5.74,0.72,й╙ву
370,2.21,0.82,18218.26,4.5,1.84,4.51,й╙ву
371,1.42,1.39,12301.59,1.84,13.63,3.57,╣нк╝
372,1.83,0.75,12658.95,2.96,6.25,3.72,╣нк╝
373,2.38,1.47,17822.73,3.41,3.65,5.17,й╙ву
374,2.67,1.03,15635.34,4.2,4.74,2.19,й╙ву
375,0.91,1.41,16147.3,3.95,3.04,3.07,й╙ву
376,3.68,0.53,17048.38,5.69,6.69,8.54,╣нк╝
377,1.03,0.49,16945.62,8.25,8.95,5.61,й╙ву
378,1.77,0.49,18266.43,2.93,3.72,3.34,й╙ву
379,2.25,1.23,18903.8,5.69,3.32,7.64,й╙ву
380,1.9,1.67,18146.19,5.1,3.41,5.02,╣нк╝
381,2.7,1.81,13215.7,6.27,9.7,8.84,й╙ву
382,3.1,1.55,17188.73,1.2,5.67,4.46,╣нк╝
383,1.0,1.62,13066.06,13.15,1.94,2.1,й╙ву
384,2.62,1.67,17424.37,9.58,6.94,5.7,╣нк╝
385,3.58,1.33,18410.95,7.02,6.52,7.47,й╙ву
386,3.06,1.03,18414.81,3.7,3.3,5.35,й╙ву
387,1.4,1.6,18609.74,5.61,5.71,5.63,й╙ву
388,1.43,0.76,15575.73,3.87,3.61,7.79,╣нк╝
389,0.67,1.3,18117.24,4.59,2.61,1.3,й╙ву
390,0.61,0.68,18080.27,4.91,3.68,8.51,й╙ву
391,3.17,1.39,18199.9,7.59,3.04,7.74,й╙ву
392,2.85,1.16,17544.73,4.28,8.31,9.12,й╙ву
393,2.35,1.34,14678.79,1.6,9.14,5.79,й╙ву
394,3.03,1.97,13493.88,2.68,5.35,3.17,й╙ву
