ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
332,2.73,0.16,16991.19,4.34,0.25,5.12,й╙ву
333,1.43,0.64,17225.63,3.46,0.69,0.81,й╙ву
334,0.7,0.19,13742.51,0.03,3.27,4.4,й╙ву
335,2.51,0.61,16915.13,2.24,2.96,2.28,й╙ву
336,1.26,0.89,18382.13,3.09,0.54,6.83,╣нк╝
337,0.55,0.34,16050.64,1.55,2.85,0.86,й╙ву
338,2.87,0.12,18013.85,0.76,2.8,5.11,й╙ву
339,1.92,0.07,15529.06,2.09,3.19,2.82,╣нк╝
340,2.93,0.16,16464.41,10.48,4.27,0.79,й╙ву
341,1.38,0.65,15969.49,1.89,3.14,1.71,й╙ву
342,2.21,0.8,18465.78,1.43,2.97,3.26,й╙ву
343,1.77,0.06,15978.72,3.75,0.26,1.14,й╙ву
344,2.87,0.53,18332.0,0.26,1.08,4.6,й╙ву
345,0.35,0.83,16526.76,2.84,4.35,1.52,й╙ву
346,1.79,0.35,18333.2,5.6,12.08,8.98,й╙ву
347,1.23,0.68,15701.59,4.43,3.2,2.01,╣нк╝
348,2.36,0.02,14799.65,1.93,2.78,1.41,й╙ву
349,0.37,0.09,14455.54,2.43,3.72,6.61,й╙ву
350,0.01,0.35,15309.81,0.74,4.89,2.0,й╙ву
351,1.94,0.86,16337.32,1.37,1.54,5.9,й╙ву
352,0.87,0.82,18099.16,7.63,0.59,7.83,й╙ву
353,1.94,0.99,17396.1,3.94,2.99,7.38,й╙ву
354,2.55,0.88,15587.49,0.07,8.67,8.46,й╙ву
355,1.19,0.13,14127.24,2.79,2.86,4.22,й╙ву
356,1.54,0.13,16547.96,0.32,4.82,2.43,й╙ву
357,0.12,0.72,16827.57,0.92,1.77,7.09,й╙ву
358,2.37,0.77,13790.09,1.76,0.07,6.46,й╙ву
359,2.16,0.99,13657.59,3.21,0.4,5.86,й╙ву
360,0.93,0.75,18476.15,0.72,0.03,6.65,й╙ву
361,1.69,0.76,17711.85,1.22,4.28,4.76,й╙ву
362,2.24,0.63,16524.83,2.96,1.09,1.14,й╙ву
363,0.48,0.33,18213.97,0.08,3.72,3.5,╣нк╝
364,2.67,0.46,14861.58,3.37,3.11,2.72,╣нк╝
365,0.36,0.77,17183.83,0.0,0.19,1.16,╣нк╝
366,1.38,0.4,15364.12,3.62,0.68,6.84,й╙ву
367,2.02,0.8,14610.6,6.6,8.12,8.53,й╙ву
368,0.83,0.58,16465.64,5.22,1.84,7.58,й╙ву
369,1.36,0.94,15670.47,1.78,3.11,0.21,й╙ву
370,1.19,0.37,17175.78,3.19,0.19,3.88,й╙ву
371,0.68,0.71,15310.33,1.22,11.65,3.05,╣нк╝
372,1.05,0.31,14246.62,1.08,4.12,3.2,й╙ву
373,1.83,0.82,14569.28,1.63,2.49,4.16,й╙ву
374,2.04,0.51,18785.6,3.05,4.22,1.41,й╙ву
375,0.25,0.78,16669.02,2.68,1.98,2.71,й╙ву
