ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
332,2.74,0.23,14300.43,5.14,0.75,5.42,й╙ву
333,1.43,0.74,17873.06,4.41,1.59,1.02,й╙ву
334,0.86,0.44,16566.88,0.53,3.5,4.86,й╙ву
335,2.77,0.7,14785.99,2.49,3.65,2.52,й╙ву
336,1.26,1.3,15668.56,3.16,1.12,6.85,╣нк╝
337,0.89,0.56,16031.51,2.08,3.49,1.29,й╙ву
338,2.89,0.46,12111.06,1.51,2.81,5.32,й╙ву
339,2.29,0.1,12382.02,3.04,3.42,2.89,╣нк╝
340,2.97,0.38,14890.46,11.05,4.93,0.85,й╙ву
341,1.52,1.03,18302.05,2.81,4.08,2.15,╣нк╝
342,2.39,1.18,12948.89,1.67,3.38,3.75,й╙ву
343,2.21,0.5,17088.19,4.38,0.42,1.22,й╙ву
344,3.28,0.9,14206.7,1.14,1.84,4.87,й╙ву
345,0.65,0.89,15967.35,3.07,4.57,1.64,й╙ву
346,1.97,0.54,17679.56,6.03,12.8,9.17,й╙ву
347,1.63,1.0,12904.36,5.23,3.24,2.28,╣нк╝
348,2.46,0.21,12768.61,1.99,3.32,1.54,й╙ву
349,0.75,0.27,14706.29,3.1,4.68,6.87,й╙ву
350,0.5,0.82,15162.87,1.52,5.77,2.06,й╙ву
351,2.2,0.88,15379.32,2.28,1.72,6.08,й╙ву
352,1.28,0.82,13701.98,8.58,1.06,8.06,╣нк╝
353,2.2,1.38,17018.07,4.42,3.2,7.69,й╙ву
354,2.88,1.2,16257.7,0.49,9.53,8.77,й╙ву
355,1.39,0.44,14948.27,3.37,3.77,4.24,й╙ву
356,1.58,0.6,12490.74,0.46,4.91,2.51,й╙ву
357,0.59,1.13,18073.65,1.17,2.02,7.56,й╙ву
358,2.44,1.13,13611.37,2.13,0.22,6.7,й╙ву
359,2.36,1.15,12001.55,3.66,0.65,6.09,й╙ву
360,0.96,0.87,13358.19,1.27,0.06,6.96,й╙ву
361,1.81,1.02,17943.73,2.09,4.88,5.05,╣нк╝
362,2.29,0.78,17876.7,3.76,1.22,1.35,й╙ву
363,0.84,0.74,18938.05,1.06,4.43,3.96,╣нк╝
364,2.73,0.87,14127.27,4.18,3.17,3.03,╣нк╝
365,0.68,1.15,14258.09,0.48,0.78,1.36,╣нк╝
366,1.87,0.62,18168.36,4.37,1.64,7.01,й╙ву
367,2.28,1.23,12007.4,7.03,8.35,8.8,й╙ву
368,0.86,1.02,14926.39,5.31,2.54,7.83,й╙ву
369,1.46,1.09,17863.66,1.79,4.07,0.31,й╙ву
370,1.57,0.64,18332.54,3.42,0.95,4.04,й╙ву
371,0.92,1.12,15004.17,1.33,12.44,3.41,╣нк╝
