ringNumber,crackLength,crackWidth,radiusOfCurvature,segmentDislocation,settlementRate,convergenceDeformation,leakageRate
632,1.52,0.19,13240.78,3.79,1.36,7.22,湿渍
633,0.2,0.91,15381.5,1.94,2.94,6.08,湿渍
634,2.48,0.55,18346.66,3.12,4.47,5.77,湿渍
635,1.63,0.71,15225.37,6.04,7.77,7.3,湿渍
636,0.67,0.65,16490.2,6.96,7.88,0.51,湿渍
637,0.12,0.99,12839.5,6.01,6.18,4.34,滴水
638,3.08,1.04,13189.84,1.9,3.45,4.92,湿渍
639,3.0,0.89,13068.86,2.88,1.83,3.18,湿渍
640,0.48,0.15,16783.25,1.41,4.21,0.46,湿渍
641,2.75,0.46,14822.96,3.43,0.14,4.07,滴水
642,0.29,0.54,14336.53,4.14,3.31,4.23,湿渍
643,2.23,0.76,13922.75,2.04,0.67,1.39,湿渍
644,0.59,0.69,15571.83,5.13,9.22,6.84,湿渍
645,0.91,0.55,14699.14,8.14,11.66,11.27,湿渍
646,0.88,0.92,17895.47,0.6,2.33,4.6,滴水
647,1.07,0.59,17136.76,7.03,9.55,8.32,湿渍
648,1.67,0.94,12694.89,1.02,3.07,5.68,湿渍
649,1.1,1.03,13723.84,1.12,4.34,3.1,滴水
650,2.4,0.89,16123.62,1.41,0.83,4.56,湿渍
651,0.51,0.45,17229.12,3.05,6.48,1.11,湿渍
652,2.86,0.32,15402.79,0.53,4.14,0.77,滴水
653,0.87,0.79,18553.0,3.87,1.8,3.9,滴水
654,2.71,0.49,15160.06,1.27,2.94,3.74,湿渍
655,2.59,1.04,15726.28,6.79,3.1,4.66,湿渍
656,2.63,0.25,18826.9,1.9,6.3,0.8,湿渍
657,0.43,0.36,14850.57,1.96,2.71,7.58,湿渍
658,1.86,1.09,18808.7,2.5,4.2,2.36,滴水
659,0.87,0.93,12873.27,2.62,1.45,1.73,湿渍
660,0.83,0.47,16480.72,4.39,4.9,6.15,滴水
661,0.54,1.17,17377.58,6.79,5.45,3.44,湿渍
662,1.15,0.52,16747.55,6.8,9.38,1.24,湿渍
663,2.83,0.7,12302.08,3.87,2.54,5.2,湿渍
664,2.64,0.46,14741.82,2.16,3.6,1.99,湿渍
665,1.09,0.54,12812.04,2.81,2.19,0.1,湿渍
666,1.89,0.66,15367.97,4.06,5.1,0.91,湿渍
667,0.82,0.96,18774.91,6.42,5.43,0.44,湿渍
668,1.49,0.32,14311.22,2.41,6.1,8.36,湿渍
669,0.84,0.31,15717.91,1.33,4.61,2.98,湿渍
670,2.92,0.93,15224.8,3.53,3.22,4.87,湿渍
671,0.25,0.44,16970.12,4.15,5.13,3.7,湿渍
672,0.52,0.21,14002.76,3.1,2.25,4.33,湿渍
673,1.16,0.25,13432.61,0.75,4.94,4.73,湿渍
674,1.39,0.97,17471.34,1.39,3.92,4.48,滴水
